subject_id,subject_name,subject_chinese_x,subject_chinese,father_id,subject_abbre
1,Acoustics,声学,声学,-1,Acoust.
2,Agricultural Economics & Policy,农业经济学与政策,农业经济与政策,-1,Agric. Econ. Policy
3,Agricultural Engineering,农业工程,农业工程,-1,Agric. Eng.
4,Agriculture,农业,农业,-1,Agric.
5,Dairy & Animal Science Agriculture,奶业与动物科学农业,奶业与动物科学农业,4,Dairy Anim. Sci. Agric.
6,Multidisciplinary Agriculture,多学科农业,多学科农业,4,Multidiscip. Agric.
7,Agronomy,农艺学,农学,-1,Agron.
8,Allergy,过敏,过敏,-1,Allergy
9,Anatomy & Morphology,解剖与形态,解剖学与形态学,-1,Anat. Morphol.
10,Andrology,雄科学,男科学,-1,Androl.
11,Anesthesiology,麻醉学,麻醉学,-1,Anesthesiol.
12,Anthropology,人类学,人类学,-1,Anthropol.
13,Archaeology,考古学,考古学,-1,Archaeol.
14,Architecture,建筑学,建筑学,-1,Archit.
15,Area Studies,地区研究,区域研究,-1,Area Stud.
16,Art,艺术,艺术,-1,Art
17,Asian Studies,亚洲研究,亚洲研究,-1,Asian Stud.
18,Astronomy & Astrophysics,天文学和天体物理学,天文学与天体物理学,-1,Astron. Astrophys.
19,Automation & Control Systems,自动化和控制系统,自动化与控制系统,-1,Autom. Control Syst.
20,Behavioral Sciences,行为科学,行为科学,-1,Behav. Sci.
21,Biochemical Research Methods,生化研究方法,生化研究方法,-1,Biochem. Res. Methods
22,Biochemistry & Molecular Biology,生物化学与分子生物学,生物化学与分子生物学,-1,Biochem. Mol. Biol.
23,Biodiversity Conservation,生物多样性保护,生物多样性保护,-1,Biodivers. Conserv.
24,Biology,生物学,生物学,-1,Biol.
25,Biophysics,生物物理学,生物物理学,-1,Biophys.
26,Biotechnology & Applied Microbiology,生物技术和应用微生物学,生物技术与应用微生物学,-1,Biotechnol. Appl. Microbiol.
27,Business,商业,商业,-1,Bus.
28,Finance Business,财务业务,金融商业,27,Finance Bus.
29,Cardiac & Cardiovascular Systems,心脏和心血管系统,心脏与心血管系统,-1,Cardiac Cardiovasc. Syst.
30,Cell & Tissue Engineering,细胞和组织工程,细胞与组织工程,-1,Cell Tissue Eng.
31,Cell Biology,细胞生物学,细胞生物学,-1,Cell Biol.
32,Chemistry,化学,化学,-1,Chem.
33,Analytical Chemistry,分析化学,分析化学,32,Anal. Chem.
34,Applied Chemistry,应用化学,应用化学,32,Appl. Chem.
35,Inorganic & Nuclear Chemistry,无机和核化学,无机与核化学,32,Inorg. Nucl. Chem.
36,Medicinal Chemistry,药物化学,药物化学,32,Med. Chem.
37,Multidisciplinary Chemistry,多学科化学,多学科化学,32,Multidiscip. Chem.
38,Organic Chemistry,有机化学,有机化学,32,Org. Chem.
39,Physical Chemistry,物理化学,物理化学,32,Phys. Chem.
40,Classics,经典,古典学,-1,Classics
41,Clinical Neurology,临床神经病学,临床神经病学,-1,Clin. Neurol.
42,Communication,沟通,通信,-1,Commun.
43,Computer Science,计算机科学,计算机科学,-1,Comput. Sci.
44,Artificial Intelligence Computer Science,人工智能计算机科学,人工智能计算机科学,43,Artif. Intell. Comput. Sci.
45,Cybernetics Computer Science,控制论计算机科学,控制论计算机科学,43,Cybernet. Comput. Sci.
46,Hardware & Architecture Computer Science,硬件和建筑计算机科学,硬件与体系结构计算机科学,43,Hardware Archit. Comput. Sci.
47,Information Systems Computer Science,信息系统计算机科学,信息系统计算机科学,43,Inf. Syst. Comput. Sci.
48,Interdisciplinary Applications Computer Science,跨学科应用计算机科学,跨学科应用计算机科学,43,Interdiscip. Appl. Comput. Sci.
49,Software Engineering Computer Science,软件工程计算机科学,软件工程计算机科学,43,Software Eng. Comput. Sci.
50,Theory & Methods Computer Science,理论与方法计算机科学,理论与方法计算机科学,43,Theory Methods Comput. Sci.
51,Construction & Building Technology,建筑与建筑技术,建筑与建筑技术,-1,Constr. Build. Technol.
52,Criminology & Penology,犯罪学和刑法学,犯罪学与刑法学,-1,Criminol. Penol.
53,Critical Care Medicine,重症监护医学,重症医学,-1,Crit. Care Med.
54,Crystallography,晶体学,晶体学,-1,Crystallogr.
55,Cultural Studies,文化学习,文化研究,-1,Cult. Stud.
56,Dance,舞蹈,舞蹈,-1,Dance
57,Demography,人口统计学,人口统计学,-1,Demogr.
58,Dentistry,牙科,牙科,-1,Dent.
59,Oral Surgery & Medicine Dentistry,口腔外科和医学牙科,口腔外科与医学牙科,58,Oral Surg. Med. Dent.
60,Dermatology,皮肤科,皮肤病学,-1,Dermatol.
61,Development Studies,发展研究,发展研究,-1,Dev. Stud.
62,Developmental Biology,发展生物学,发育生物学,-1,Dev. Biol.
63,Ecology,生态,生态学,-1,Ecol.
64,Economics,经济学,经济学,-1,Econ.
65,Education & Educational Research,教育和教育研究,教育与教育研究,-1,Educ. Educ. Res.
66,Education,教育,教育,-1,Educ.
67,Scientific Disciplines Education,科学学科教育,科学学科教育,66,Sci. Disciplines Educ.
68,Special Education,特殊教育,特殊教育,66,Spec. Educ.
69,Electrochemistry,电化学,电化学,-1,Electrochem.
70,Emergency Medicine,急诊医学,急诊医学,-1,Emerg. Med.
71,Endocrinology & Metabolism,内分泌与代谢,内分泌与代谢,-1,Endocrinol. Metab.
72,Energy & Fuels,能源和燃料,能源与燃料,-1,Energy Fuels
73,Engineering,工程,工程,-1,Eng.
74,Aerospace Engineering,航空工程,航空航天工程,73,Aerospace Eng.
75,Biomedical Engineering,生物医学工程,生物医学工程,73,Biomed. Eng.
76,Chemical Engineering,化学工程,化学工程,73,Chem. Eng.
77,Civil Engineering,土木工程,土木工程,73,Civil Eng.
78,Electrical & Electronic Engineering,电气和电子工程,电气与电子工程,73,Electr. Electron. Eng.
79,Environmental Engineering,环境工程,环境工程,73,Environ. Eng.
80,Geological Engineering,地质工程,地质工程,73,Geol. Eng.
81,Industrial Engineering,工业工程,工业工程,73,Ind. Eng.
82,Manufacturing Engineering,制造工程,制造工程,73,Manuf. Eng.
83,Marine Engineering,海洋工程,海洋工程,73,Marine Eng.
84,Mechanical Engineering,机械工业,机械工程,73,Mech. Eng.
85,Multidisciplinary Engineering,多学科工程,多学科工程,73,Multidiscip. Eng.
86,Ocean Engineering,海洋工程,海洋工程,73,Ocean Eng.
87,Petroleum Engineering,石油工程师,石油工程,73,Petroleum Eng.
88,Entomology,昆虫学,昆虫学,-1,Entomol.
89,Environmental Sciences,环境科学,环境科学,-1,Environ. Sci.
90,Environmental Studies,环境研究,环境研究,-1,Environ. Stud.
91,Ergonomics,人体工程学,人因工程学,-1,Ergonomics
92,Ethics,伦理,伦理学,-1,Ethics
93,Ethnic Studies,种族研究,民族学,-1,Ethnic Stud.
94,Evolutionary Biology,进化生物学,进化生物学,-1,Evol. Biol.
95,Family Studies,家庭研究,家庭学,-1,Fam. Stud.
96,Film,电影,电影,-1,Film
97,Radio Film,广播电影,广播电影,96,Radio Film
98,Fisheries,渔业,渔业,-1,Fisheries
99,Folklore,民俗学,民俗学,-1,Folklore
100,Food Science & Technology,食品科学技术,食品科学与技术,-1,Food Sci. Technol.
101,Forestry,林业,林业,-1,Forestry
102,Gastroenterology & Hepatology,胃肠病学和肝病学,胃肠病学与肝病学,-1,Gastroenterol. Hepatol.
103,Genetics & Heredity,遗传学和遗传,遗传学与遗传,-1,Genet. Hered.
104,Geochemistry & Geophysics,地球化学与地球物理学,地球化学与地球物理学,-1,Geochem. Geophys.
105,Geography,地理,地理学,-1,Geogr.
106,Physical Geography,自然地理学,物理地理学,105,Phys. Geogr.
107,Geology,地质学,地质学,-1,Geol.
108,Geosciences,地球科学,地球科学,-1,Geosci.
109,Multidisciplinary Geosciences,多学科地球科学,多学科地球科学,108,Multidiscip. Geosci.
110,Geriatrics & Gerontology,老年医学和老年学,老年病学与老年学,-1,Geriatr. Gerontol.
111,Gerontology,老年学,老年学,-1,Gerontol.
112,Green & Sustainable Science & Technology,绿色和可持续科学技术,绿色与可持续科学与技术,-1,Green Sustain. Sci. Technol.
113,Health Care Sciences & Services,医疗科学与服务,卫生保健科学与服务,-1,Health Care Sci. Serv.
114,Health Policy & Services,卫生政策与服务,卫生政策与服务,-1,Health Policy Serv.
115,Hematology,血液学,血液学,-1,Hematol.
116,History,历史,历史,-1,Hist.
117,History & Philosophy Of Science,历史与科学哲学,科学历史与哲学,-1,Hist. Philos. Sci.
118,History Of Social Sciences,社会科学史,社会科学历史,-1,Hist. Soc. Sci.
119,Horticulture,园艺,园艺,-1,Hort.
120,Hospitality,热情好客,酒店管理,-1,Hosp.
121,Leisure Hospitality,休闲款待,休闲酒店管理,120,Leis. Hosp.
122,Humanities,人文科学,人文学科,-1,Hum.
123,Multidisciplinary Humanities,多学科人文科学,多学科人文学科,122,Multidiscip. Hum.
124,Imaging Science & Photographic Technology,成像科学与摄影技术,成像科学与摄影技术,-1,Imaging Sci. Phototechnol.
125,Immunology,免疫学,免疫学,-1,Immunol.
126,Industrial Relations & Labor,劳资关系与劳动,工业关系与劳工,-1,Ind. Relat. Labor
127,Infectious Diseases,传染性疾病,传染病,-1,Infect. Dis.
128,Information Science & Library Science,信息科学与图书馆科学,信息科学与图书馆学,-1,Inf. Sci. Libr. Sci.
129,Instruments & Instrumentation,乐器和仪器,仪器与仪表,-1,Instrum. Instrum.
130,Integrative & Complementary Medicine,综合医学,综合与补充医学,-1,Integr. Complement. Med.
131,International Relations,国际关系,国际关系,-1,Int. Relat.
132,Language & Linguistics,语言和语言学,语言与语言学,-1,Lang. Linguist.
133,Law,法律,法律,-1,Law
134,Limnology,羊水学,湖泊学,-1,Limnol.
135,Linguistics,语言学,语言学,-1,Linguist.
136,Literary Reviews,文学评论,文学评论,-1,Literary Rev.
137,Literary Theory & Criticism,文学理论与批评,文学理论与批评,-1,Lit. Theory Crit.
138,Literature,文学,文学,-1,Lit.
139,African Literature,非洲文学,非洲文学,138,Afr. Lit.
140,American Literature,美国文学,美国文学,138,Am. Lit.
141,British Isles Literature,不列颠群岛文学,不列颠群岛文学,138,Br. Isles Lit.
142,German Literature,德国文学,德国文学,138,Ger. Lit.
143,Romance Literature,浪漫文学,罗曼斯文学,138,Rom. Lit.
144,Slavic Literature,斯拉夫文学,斯拉夫文学,138,Slav. Lit.
145,Logic,逻辑,逻辑学,-1,Logic
146,Management,管理,管理,-1,Manag.
147,Marine & Freshwater Biology,海洋和淡水生物学,海洋与淡水生物学,-1,Mar. Freshwater Biol.
148,Materials Science,材料科学,材料科学,-1,Mater. Sci.
149,Biomaterials Materials Science,生物材料材料科学,生物材料材料科学,148,Biomater. Mater. Sci.
150,Ceramics Materials Science,陶瓷材料科学,陶瓷材料科学,148,Ceram. Mater. Sci.
151,Characterization & Testing Materials Science,表征和测试材料科学,材料科学的表征与测试,148,Charact. Test. Mater. Sci.
152,Coatings & Films Materials Science,涂料和电影材料科学,涂料和薄膜材料科学,148,Coat. Films Mater. Sci.
153,Composites Materials Science,复合材料科学,复合材料科学,148,Compos. Mater. Sci.
154,Multidisciplinary Materials Science,多学科材料科学,多学科材料科学,148,Multidiscip. Mater. Sci.
155,Paper & Wood Materials Science,纸与木材材料科学,纸张和木材材料科学,148,Pap. Wood Mater. Sci.
156,Textiles Materials Science,纺织品材料科学,纺织材料科学,148,Text. Mater. Sci.
157,Mathematical & Computational Biology,数学和计算生物学,数学与计算生物学,-1,Math. Comput. Biol.
158,Mathematics,数学,数学,-1,Math.
159,Applied Mathematics,应用数学,应用数学,158,Appl. Math.
160,Interdisciplinary Applications Mathematics,跨学科应用数学,跨学科应用数学,158,Interdiscip. Appl. Math.
161,Mechanics,力学,力学,-1,Mech.
162,Medical Ethics,医学伦理,医学伦理学,-1,Med. Ethics
163,Medical Informatics,医学信息学,医学信息学,-1,Med. Inform.
